date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:48	12198/12198	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from http://bunagcorteslaw.com/)
13:45:02	63187/63187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Feb%202020%2005:44:46%20GMT	http://bunagcorteslaw.com/the-lawyers/	/Users/francis/websites/bcslaw/bunagcorteslaw.com/the-lawyers/index.html	(from http://bunagcorteslaw.com/)
13:45:04	847/847	---M--	200	added ('OK')	image/gif	date:Tue,%2021%20Jan%202020%2012:55:03%20GMT	http://bunagcorteslaw.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://bunagcorteslaw.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6)
13:45:04	73109/73109	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:44:46%20GMT	http://bunagcorteslaw.com/contact-us/	/Users/francis/websites/bcslaw/bunagcorteslaw.com/contact-us/index.html	(from http://bunagcorteslaw.com/)
13:45:08	94508/94508	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=2.8.4	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/js/frontend.min5e0b.js	(from http://bunagcorteslaw.com/)
13:45:11	125578/125578	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=4.4.6	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min4f24.js	(from http://bunagcorteslaw.com/)
13:45:20	72716/72716	---M--	200	added ('OK')	font/woff2	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.5.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdb5f.woff2	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0)
13:45:24	241506/241506	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.5.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdb5f.svg	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0)
13:45:27	88332/88332	---M--	200	added ('OK')	font/woff	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.5.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdb5f.woff	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0)
13:45:37	166340/166340	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.5.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdb5f.eot	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0)
13:45:42	166180/166180	---M--	200	added ('OK')	font/ttf	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.5.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdb5f.ttf	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0)
13:45:55	77160/77160	---M--	200	added ('OK')	font/woff2	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
13:45:58	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
13:46:02	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
13:46:04	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
13:46:06	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Jan%202020%2012:55:12%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/error_activation.txt	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/error_activation.35.delayed	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
